aid,bvid,cid,comment,created_time,date,day,hour_min,length,month,play,time,title,year
73941490,BV1tE411b7ya,126482859,1572,1572432777,2019-10-30,30,18:52,10:04,10,374405,2019-10-30 18:52,【嫂】回忆杀？帮佟湘玉改妆！有故事的老板娘妆容,2019
74978430,BV1oE411e73i,128263583,8423,1573216508,2019-11-08,08,20:35,09:52,11,728962,2019-11-08 20:35,【嫂】白菜价合集？平民窟最值得买的百元top7！,2019
74302126,BV1BE411t7Mx,127101645,1901,1572700664,2019-11-02,02,21:17,08:07,11,542425,2019-11-02 21:17,【嫂】又纯又欲？重返90s|整容级短发微胖妆容水光卷发分享！,2019
71764132,BV1BE411k7yN,124351042,1218,1571487432,2019-10-19,19,20:17,09:50,10,373034,2019-10-19 20:17,【嫂】秒变坏姐姐？保姆级变脸术！简单又出彩酷女孩妆容！,2019
73156413,BV15E411y7Sd,125126468,9941,1571831567,2019-10-23,23,19:52,15:48,10,821473,2019-10-23 19:52,让男朋友猜快递价格，猜错了就送观众！结果...,2019
73490317,BV18E411a7Yg,125674194,8921,1572089822,2019-10-26,26,19:37,10:09,10,717670,2019-10-26 19:37,【超燃】好用又划算｜双十一，最值得买的海外好物top9！,2019
74669893,BV1YE411B75g,127722396,1833,1572961504,2019-11-05,05,21:45,12:01,11,344230,2019-11-05 21:45,【嫂】双十一必买清单（上）|| 贵妇的快乐是如此的简单！,2019
73702754,BV1PE411h7qD,126063401,1682,1572238787,2019-10-28,28,12:59,09:18,10,412831,2019-10-28 12:59,【嫂】微胖大胸55身？超显瘦显高的秋冬平价穿搭分享！,2019
76367531,BV1rJ41117Zj,130629893,940,1574249757,2019-11-20,20,19:35,06:37,11,1256345,2019-11-20 19:35,让闺蜜假装掀桌子跟男友吵架，结果居然...,2019
76571765,BV1UJ411R7L9,130978690,1336,1574415647,2019-11-22,22,17:40,08:06,11,493826,2019-11-22 17:40,【嫂】性感小猫眼妆｜8分钟变人见人爱坏女人！烂脸期的自我救赎！,2019
77839188,BV1ZJ411z7nT,133274747,1222,1575345621,2019-12-03,03,12:00,06:55,12,1811530,2019-12-03 12:00,惊了！百万up主今年最后1个flag竟然是...,2019
77901159,BV1vJ411q7Ej,133363089,947,1575367236,2019-12-03,03,18:00,14:17,12,309801,2019-12-03 18:00,【嫂】GRWM用新买的彩妆画个妆！无广！一个重大决定！唠唠规划和生活～,2019
78055015,BV1WJ411B7Lv,133545222,5513,1575464702,2019-12-04,04,21:05,15:02,12,377840,2019-12-04 21:05,【爆爽种草&吐槽！双十一快递合集】pr礼包开箱 购物分享！,2019
78403638,BV1qJ411e7QD,134142988,5285,1575721352,2019-12-07,07,20:22,11:14,12,421981,2019-12-07 20:22,【嫂】两款妆容详解？百元内，神仙化妆工具！,2019
75753865,BV1iJ411D7bd,129591056,6712,1573821313,2019-11-15,15,20:35,02:34,11,480647,2019-11-15 20:35,冲进商场，给观众怒花20000块！全部送光是什么体验？,2019
79007466,BV1LJ411C7NX,135203284,2472,1576156092,2019-12-12,12,21:08,10:36,12,1111126,2019-12-12 21:08,包下价值两亿的庄园，130斤贵族小姐的日常！优雅浪漫英式妆～,2019
21729002,BV1xW411M7V3,35828908,334,1523005758,2018-04-06,06,17:09,15:51,04,88944,2018-04-06 17:09,[vlog] 曼谷芭提雅 和我提前过夏天吧~,2018
22611721,BV1ZW411G7o1,37507526,355,1524753615,2018-04-26,26,22:40,05:35,04,63942,2018-04-26 22:40,【嫂#挑战】超颠簸车里画一个完整妆容 ！巨型羞耻的一天,2018
23080014,BV1Vp411f7mV,38388631,289,1525618165,2018-05-06,06,22:49,07:00,05,82347,2018-05-06 22:49,【嫂】一个很丧很暗黑的妆 单品不超过100元 /,2018
23206947,BV1Xp411f7eg,38633334,262,1525866563,2018-05-09,09,19:49,10:34,05,157068,2018-05-09 19:49,【嫂】低至十元！MUJI无限回购产品有哪些?/ 彩妆 / 文具 /,2018
23510523,BV1yp411Z7Sn,39218403,311,1526469335,2018-05-16,16,19:15,12:20,05,78651,2018-05-16 19:15,【嫂#测评】奶油肌底妆 八小时实测 + vlog在家撸猫的日常 [ad],2018
23550915,BV1mp411Z7kd,39303656,338,1526556959,2018-05-17,17,19:35,06:16,05,98776,2018-05-17 19:35,【嫂】 超简单 意乱情迷妆容,2018
24365265,BV1zW411N7Bs,40889672,631,1528094442,2018-06-04,04,14:40,16:04,06,503448,2018-06-04 14:40,【嫂】瑕疵皮的夏日清透妆 / 聊聊生活+周末补课的一天vlog,2018
24825445,BV1BW411w7GE,41838484,188,1528887980,2018-06-13,13,19:06,07:46,06,103987,2018-06-13 19:06,【嫂】学生党居家必备！低至十元 满满幸福感！,2018
25587660,BV1Cs411L7c8,43593415,321,1529934193,2018-06-25,25,21:43,07:57,06,75080,2018-06-25 21:43,【嫂#vlog】一些撒欢了笑和闹 五月值得记录的日常,2018
26209861,BV1as411V7nQ,44985473,610,1530788575,2018-07-05,05,19:02,09:34,07,118351,2018-07-05 19:02,【嫂】缩胸咖啡！一次喝五杯会发生什么 ?,2018
26345391,BV17s411p7up,45252219,526,1530958831,2018-07-07,07,18:20,17:45,07,113354,2018-07-07 18:20,【嫂】陪我度过过生日的一天,2018
26855187,BV1Ys411J7jS,46230645,2124,1531568544,2018-07-14,14,19:42,05:56,07,125642,2018-07-14 19:42,【嫂】 自助染发教程+五分钟快手妆,2018
27163995,BV1ss411E7ZY,46810220,724,1531920272,2018-07-18,18,21:24,10:58,07,397832,2018-07-18 21:24,【嫂】新手化妆 会这几招就o98k/ 化妆步骤与解析♡,2018
27694037,BV1Gs411N7Rn,47800594,744,1532506851,2018-07-25,25,16:20,10:36,07,207877,2018-07-25 16:20,【嫂】军训必备！防晒以及女生的羞羞好物！男生只能看前五分钟!,2018
,,126063401,,,,,,,,,,,
,,130629893,,,,,,,,,,,
,,128263583,,,,,,,,,,,
,,130978690,,,,,,,,,,,
,,127722396,,,,,,,,,,,
,,125674194,,,,,,,,,,,
,,126482859,,,,,,,,,,,
,,125126468,,,,,,,,,,,
,,124351042,,,,,,,,,,,
,,127101645,,,,,,,,,,,
,,135203284,,,,,,,,,,,
,,134142988,,,,,,,,,,,
,,37507526,,,,,,,,,,,
,,43593415,,,,,,,,,,,
,,35828908,,,,,,,,,,,
,,41838484,,,,,,,,,,,
,,47800594,,,,,,,,,,,
,,129591056,,,,,,,,,,,
,,46810220,,,,,,,,,,,
,,133545222,,,,,,,,,,,
,,40889672,,,,,,,,,,,
28678723,BV15s411g7bZ,49665018,455,1533557682,2018-08-06,06,20:14,11:23,08,57082,2018-08-06 20:14,【嫂】GRWM  人人能画的日常古妆 |,2018
28860995,BV1ns411M77m,50022294,906,1533735148,2018-08-08,08,21:32,07:30,08,195744,2018-08-08 21:32,【嫂】165cm126斤 微胖穿搭 | 如何在穿搭上显瘦十斤,2018
,,46230645,,,,,,,,,,,
29616291,BV1PW411d74q,51512024,461,1534509035,2018-08-17,17,20:30,11:18,08,95095,2018-08-17 20:30,【嫂】超爽的开箱!可以尖叫一百次!给小郭七夕买了啥!,2018
28035543,BV1Ns411P7qj,48433378,319,1532867471,2018-07-29,29,20:31,07:45,07,91760,2018-07-29 20:31,【嫂】学生党!低至三元 耳饰分享/ 搭配技巧~ 买了不后悔系列！,2018
28374853,BV1Gs41137Xr,49083665,5143,1533297951,2018-08-03,03,20:05,08:33,08,1292361,2018-08-03 20:05,【嫂】底妆选的好 瑕疵都没了- 巨好用 超高清底妆测评,2018
,,44985473,,,,,,,,,,,
,,39303656,,,,,,,,,,,
,,39218403,,,,,,,,,,,
,,38633334,,,,,,,,,,,
30036776,BV1XW411Q7wJ,52347011,496,1534941368,2018-08-22,22,20:36,07:48,08,179023,2018-08-22 20:36,【嫂】 好看又耐穿 鞋子分享| 种草的一天 ♡,2018
30373496,BV19W411D7qJ,52992381,1001,1535281570,2018-08-26,26,19:06,07:30,08,88976,2018-08-26 19:06,【嫂】自防技巧！滴滴事件的一些反思及告诫,2018
,,45252219,,,,,,,,,,,
,,38388631,,,,,,,,,,,
31201908,BV1EW411d7cV,54508304,327,1536223132,2018-09-06,06,16:38,06:29,09,119998,2018-09-06 16:38,【嫂x梁不了】表面姐妹 | 三分钟化妆挑战 | 一个拍完就绝交了的视频,2018
,,133274747,,,,,,,,,,,
31601457,BV1dW411C72Y,55258635,1052,1536761795,2018-09-12,12,22:16,16:02,09,410938,2018-09-12 22:16,【恋爱vlog#1】送男朋友出国读书 | 异国恋 | 幸福肥cp | 斗嘴的日常,2018
30975373,BV1DW411o7K5,54089035,1284,1535894327,2018-09-02,02,21:18,08:38,09,1163024,2018-09-02 21:18,【嫂】网骗女孩的自我修养,2018
31927623,BV19W411k7wF,55841759,193,1537183672,2018-09-17,17,19:27,07:26,09,80305,2018-09-17 19:27,【嫂】pack with me |  给即将留学的傻儿子收拾行李,2018
32155797,BV1pW411r7eG,56254035,655,1537520854,2018-09-21,21,17:07,13:38,09,319558,2018-09-21 17:07,【干货】 新手买啥呢?零差评化妆品分享| 不好用你捶我 之 彩妆卸妆 |,2018
32691448,BV1nW411S7JH,57210703,570,1538210118,2018-09-29,29,16:35,05:17,09,121198,2018-09-29 16:35,【嫂】时隔半年的复仇 | 一个发人深省的年度伦理记录片 |,2018
,,133363089,,,,,,,,,,,
32757632,BV1rW411S7A8,57330140,491,1538300148,2018-09-30,30,17:35,10:53,09,241989,2018-09-30 17:35,【嫂】巨好用超高清 爆汗底妆实测10小时 | 健身减肥vlog,2018
32996692,BV1GW411U7PU,57753334,487,1538553763,2018-10-03,03,16:02,10:06,10,155204,2018-10-03 16:02,【嫂】干货向 |十分钟教你 从新手小白到化妆老司机| 错误vs正确化妆技巧,2018
33977694,BV1kt411Z7dH,59503568,4852,1539689835,2018-10-16,16,19:37,06:41,10,121096,2018-10-16 19:37,【嫂】 秋冬红棕枫叶妆 | 一支口红hold住全妆 精简产品让化妆更简单|,2018
79628713,BV1PJ411r7kr,136279348,891,1576581091,2019-12-17,17,19:11,16:04,12,489357,2019-12-17 19:11,【嫂】年度分享｜从贫民窟到伪贵妇，我都买了些啥包？,2019
80259665,BV18J411s7JZ,137343569,4962,1577020890,2019-12-22,22,21:21,09:54,12,367998,2019-12-22 21:21,【嫂】价值万元的圣诞限量款测评合集！,2019
81018647,BV1PJ411a75M,138662300,740,1577538345,2019-12-28,28,21:05,08:39,12,452026,2019-12-28 21:05,【嫂vlog】在零下7°C的故宫，穿还原版绝美古装是什么体验？,2019
81208583,BV1AJ411Y7dP,138972346,2124,1577633754,2019-12-29,29,23:35,06:54,12,391245,2019-12-29 23:35,【R1SE】潜入后台，一起跳抖肩舞是什么体验？星光大赏满足你！,2019
81391725,BV1uJ411h7ng,139294128,1262,1577774708,2019-12-31,31,14:45,05:19,12,1262279,2019-12-31 14:45,扎心了！原来，UP主们在2020年想要做这些…,2019
,,49665018,,,,,,,,,,,
,,49083665,,,,,,,,,,,
,,48433378,,,,,,,,,,,
,,50022294,,,,,,,,,,,
,,51512024,,,,,,,,,,,
,,52992381,,,,,,,,,,,
,,52347011,,,,,,,,,,,
81648572,BV11J411b7e2,139710560,1745,1577879927,2020-01-01,01,19:58,07:36,01,648963,2020-01-01 19:58,【中国式审美?百年妆造变迁】万元绝版古装 故宫高清实拍！,2020
81768412,BV1aJ411877x,139902788,2417,1577962857,2020-01-02,02,19:00,04:04,01,323889,2020-01-02 19:00,【嫂】啊啊绝美！AB面妆容！气场？仙气？YSL秋冬色号大赏！,2020
82600222,BV1uJ411G7dR,141317150,1079,1578490222,2020-01-08,08,21:30,16:35,01,384282,2020-01-08 21:30,【嫂】2020计划，过年我准备带啥回家？|护肤&彩妆近期汇总,2020
82866963,BV1vJ411H7mb,141767851,5580,1578659808,2020-01-10,10,20:36,05:26,01,7991730,2020-01-10 20:36,偷偷在男朋友被子下面放100个尖叫鸡，他回家后...,2020
83708093,BV1UJ41177fM,143183315,1499,1579183219,2020-01-16,16,22:00,06:31,01,573730,2020-01-16 22:00,【嫂】手残党进！3分钟快速打造无瑕透亮好皮肤！天生好皮soeasy！ft.LUNASOL粉霜,2020
83847658,BV1aJ411E7xy,143358956,2429,1579261205,2020-01-17,17,19:40,11:37,01,704723,2020-01-17 19:40,粉丝见面会，我被当场单膝下跪逼婚？！我傻了...,2020
83984920,BV1F7411q71t,143665320,1236,1579342432,2020-01-18,18,18:13,11:03,01,866354,2020-01-18 18:13,【嫂】眼睛放大术｜干货汇总之收藏夹必有我系列～超高清 无废话！,2020
85120948,BV1z7411k7wy,145532912,8475,1580033885,2020-01-26,26,18:18,10:18,01,8365086,2020-01-26 18:18,B站7000w播放能赚多少钱？兑现承诺，一次用完！,2020
,,57753334,,,,,,,,,,,
,,57330140,,,,,,,,,,,
87391724,BV1N741187Mt,149324807,1344,1581134715,2020-02-08,08,12:05,12:34,02,591381,2020-02-08 12:05,【嫂】别让女生一个人在家，不然她会...,2020
88036798,BV1w7411t7xy,150334881,1848,1581341051,2020-02-10,10,21:24,04:20,02,403202,2020-02-10 21:24,【嫂】高级感富贵大小姐妆｜韩剧财阀女一号就是你,2020
,,56254035,,,,,,,,,,,
,,55841759,,,,,,,,,,,
,,57210703,,,,,,,,,,,
,,54089035,,,,,,,,,,,
,,54508304,,,,,,,,,,,
,,55258635,,,,,,,,,,,
88209916,BV1t741157fD,150678276,3027,1581414572,2020-02-11,11,17:49,05:47,02,3106024,2020-02-11 17:49,偷偷在懒人沙发里放满气球，我直接把男友炸飞天...,2020
89225453,BV167411J7Xq,152397527,1314,1581774284,2020-02-15,15,21:44,06:21,02,818103,2020-02-15 21:44,【嫂】四个月！脸终于好了！0踩雷分享！,2020
,,138972346,,,,,,,,,,,
89464415,BV1p7411E7Lz,152802388,1833,1581860583,2020-02-16,16,21:43,08:31,02,293075,2020-02-16 21:43,【嫂】春天来了？7mins搞定人手必备清爽元气妆！,2020
92182733,BV147411N7n5,157387451,2073,1582809729,2020-02-27,27,21:22,10:39,02,455815,2020-02-27 21:22,朋友圈点赞100+网骗妆||五官普通如何将优点最大化？,2020
90333202,BV1X7411A7rN,154270987,3622,1582188608,2020-02-20,20,16:50,07:08,02,911948,2020-02-20 16:50,男朋友不爱看甜宠剧？打一顿就好了！,2020
92667984,BV1SE411J7AN,158215176,9558,1582979975,2020-02-29,29,20:39,14:07,02,640623,2020-02-29 20:39,惊！你绝对不知道女生的化妆间到底多恐怖！,2020
90907803,BV1i7411c7Dw,155215119,3855,1582423533,2020-02-23,23,10:05,07:15,02,4193443,2020-02-23 10:05,玩大了！假装砸了男朋友的绝版乐高，结果居然...,2020
91924736,BV1U7411K7qW,156958196,1128,1582722438,2020-02-26,26,21:07,04:06,02,768671,2020-02-26 21:07,当我送男朋友一瓶790元的护肤品....,2020
,,137343569,,,,,,,,,,,
,,138662300,,,,,,,,,,,
,,59503568,,,,,,,,,,,
,,139294128,,,,,,,,,,,
,,136279348,,,,,,,,,,,
,,145532912,,,,,,,,,,,
93388049,BV1FE41147sC,159444816,3694,1583232854,2020-03-03,03,18:54,07:23,03,538527,2020-03-03 18:54,【嫂】好用又划算 | 38节超值购物清单！平价贵价top4！,2020
